Tender_ID,Tender_Title,Department,Procurement_Category,Location,Tender_Date,Closing_Date,Estimated_Cost_INR,Contract_Value_INR,Winning_Vendor_ID,Winning_Vendor,Number_of_Bidders,Bid_Amounts_INR,Contract_Duration_Days,Procurement_Method,Other_Bidder_1_ID,Other_Bidder_2_ID,Contract_to_Estimate_Ratio,Bid_Spread_Percent,Payment_Amount_INR,Contract_Status,Investigation_Case_ID,Seed_Investigation_Pattern,Seed_Case_Reason
T-5000,IT Equipment Procurement - Kalaburagi Zone,Rural Development Department,IT Equipment,Kalaburagi,2026-05-07,2026-06-13,1678511.09,1484236.39,V-1044,Vendor B19,2,1480901.2|1634420.18,485,Open Tender,,,0.884,10.367,908685.12,Active,,,
T-5001,Office Supplies Procurement - Bengaluru Zone,Public Works Department,Office Supplies,Bengaluru,2025-01-21,2025-02-15,917871.96,833566.16,V-1062,Vendor C11,7,822944.05|887827.41|895423.54|904722.55|909795.61|954974.04|987244.84,242,Request for Proposal,,,0.908,19.965,820879.38,Active,,,
T-5002,School Infrastructure Procurement - Mangaluru Zone,Water Resources Department,School Infrastructure,Mangaluru,2025-10-20,2025-11-10,4561073.41,4221268.85,V-1104,Vendor E1,8,4211521.05|4282386.3|4364219.15|4649489.87|4686138.69|4848653.05|4888287.01|4922156.6,437,e-Procurement,,,0.925,16.874,3881306.33,Completed,,,
T-5003,Medical Supplies Procurement - Udupi Zone,Energy Department,Medical Supplies,Udupi,2024-03-30,2024-04-28,855506.88,775632.3,V-1027,Vendor B2,5,766146.56|844572.88|872302.49|919566.35|921588.07,490,e-Procurement,,,0.907,20.289,497969.55,Active,,,
T-5004,Vehicle Maintenance Procurement - Mangaluru Zone,Water Resources Department,Vehicle Maintenance,Mangaluru,2024-09-09,2024-09-29,1121635.34,1032166.71,V-1068,Vendor C17,8,992953.92|997182.87|1071490.02|1080862.33|1124644.73|1168868.15|1181320.67|1196275.34,311,Open Tender,,,0.92,20.476,654160.7,Completed,,,
T-5005,IT Equipment Procurement - Bengaluru Zone,Municipal Administration,IT Equipment,Bengaluru,2025-04-05,2025-05-01,2819519.37,2889356.88,V-1068,Vendor C17,5,2794387.13|2914812.02|3013934.1|3043184.41|3044921.71,114,Limited Tender,,,1.025,8.966,1752532.24,Completed,,,
T-5006,Road Infrastructure Procurement - Mangaluru Zone,Municipal Administration,Road Infrastructure,Mangaluru,2025-11-15,2025-11-29,3768650.49,3441978.66,V-1112,Vendor E9,8,3333133.74|3351759.71|3518918.97|3548393.4|3675346.77|3691894.53|3886985.47|3943042.15,430,Open Tender,,,0.913,18.298,2107421.49,Completed,,,
T-5007,Office Supplies Procurement - Hubballi Zone,Rural Development Department,Office Supplies,Hubballi,2026-05-02,2026-06-04,1317344.21,1187007.72,V-1102,Vendor D25,8,1163094.97|1195192.54|1251017.37|1251631.81|1262606.99|1274523.92|1314687.84|1397480.55,364,Open Tender,,,0.901,20.152,1052487.47,Completed,,,
T-5008,Medical Supplies Procurement - Mangaluru Zone,Rural Development Department,Medical Supplies,Mangaluru,2024-03-21,2024-04-30,1785487.74,1606506.15,V-1083,Vendor D6,8,1598319.82|1617251.85|1656984.62|1688625.61|1735185.47|1747141.93|1797415.11|1921196.44,403,e-Procurement,,,0.9,20.201,1223104.49,Active,,,
T-5009,Electrical Equipment Procurement - Udupi Zone,Transport Department,Electrical Equipment,Udupi,2025-11-26,2025-12-26,3807111.38,3405317.85,V-1026,Vendor B1,6,3381376.29|3478888.93|3481466.2|3496671.15|3562382.9|3858551.34,542,Limited Tender,,,0.894,14.112,3072687.69,Completed,,,
T-5010,Medical Supplies Procurement - Mysuru Zone,Transport Department,Medical Supplies,Mysuru,2026-08-02,2026-08-19,5303598.16,4832114.81,V-1072,Vendor C21,7,4669918.97|4765060.82|4833675.69|5067361.01|5177526.74|5209891.02|5396713.13,654,Limited Tender,,,0.911,15.563,4280358.34,Active,,,
T-5011,Office Supplies Procurement - Belagavi Zone,Transport Department,Office Supplies,Belagavi,2025-12-26,2026-01-22,1068360.44,981941.44,V-1077,Vendor C26,5,947995.37|994095.92|1038987.95|1092580.09|1099870.87,535,Open Tender,,,0.919,16.021,807230.22,Completed,,,
T-5012,Office Supplies Procurement - Tumakuru Zone,Education Department,Office Supplies,Tumakuru,2025-09-22,2025-10-19,631616.57,575146.23,V-1056,Vendor C5,6,567091.17|585283.25|599142.24|615696.04|623447.94|662023.85,140,Limited Tender,,,0.911,16.74,493972.95,Active,,,
T-5013,Medical Supplies Procurement - Belagavi Zone,Municipal Administration,Medical Supplies,Belagavi,2026-07-24,2026-08-24,1017451.81,980377.69,V-1040,Vendor B15,6,945081.11|962580.33|964024.78|996746.2|1018989.23|1078427.17,306,Open Tender,,,0.964,14.109,547305.72,Completed,,,
T-5014,Electrical Equipment Procurement - Udupi Zone,Rural Development Department,Electrical Equipment,Udupi,2024-12-15,2025-01-17,1588262.58,1442592.31,V-1094,Vendor D17,4,1403465.84|1414073.21|1415349.54|1665234.24,252,e-Procurement,,,0.908,18.652,995821.39,Completed,,,
T-5015,School Infrastructure Procurement - Udupi Zone,Transport Department,School Infrastructure,Udupi,2026-04-26,2026-05-25,3276753.56,3103765.36,V-1119,Vendor E16,8,3017940.86|3195896.05|3234179.84|3354384.62|3357293.61|3421495.29|3433108.81|3517918.74,254,e-Procurement,,,0.947,16.567,2597913.62,Completed,,,
T-5016,Office Supplies Procurement - Bengaluru Zone,Transport Department,Office Supplies,Bengaluru,2024-03-30,2024-04-10,622454.41,592419.0,V-1010,Vendor A11,7,587676.91|593725.71|604312.1|616055.96|616095.66|621692.91|663787.17,625,Open Tender,,,0.952,12.951,328321.71,Active,,,
T-5017,Road Infrastructure Procurement - Bengaluru Zone,Water Resources Department,Road Infrastructure,Bengaluru,2026-02-15,2026-03-10,5374174.85,4939302.02,V-1118,Vendor E15,13,4780967.68|4843957.96|4949616.98|5136882.01|5168363.62|5504871.08|5531073.38|5569272.96|5583003.95|5643665.49|5725054.11|5732028.33|5794359.52,320,Open Tender,,,0.919,21.196,2789913.5,Completed,,,
T-5018,IT Equipment Procurement - Kalaburagi Zone,Water Resources Department,IT Equipment,Kalaburagi,2025-07-27,2025-09-07,4036626.5,3985845.15,V-1088,Vendor D11,6,3917100.86|3988010.23|4056084.29|4103620.02|4128485.96|4278555.61,694,Open Tender,,,0.987,9.228,3720186.94,Active,,,
T-5019,Office Supplies Procurement - Mysuru Zone,Rural Development Department,Office Supplies,Mysuru,2026-08-31,2026-10-12,198759.72,182238.43,V-1066,Vendor C15,10,180444.89|180937.92|187300.11|188221.7|196114.67|199557.65|199861.17|206256.82|206472.6|210442.52,283,Open Tender,,,0.917,16.624,156326.16,Completed,,,
T-5020,Medical Supplies Procurement - Hubballi Zone,Health Department,Medical Supplies,Hubballi,2025-09-26,2025-10-07,1439557.2,1336180.97,V-1005,Vendor A6,7,1298662.48|1303515.78|1309973.28|1332814.43|1381193.89|1496360.79|1510513.63,440,e-Procurement,,,0.928,16.313,894461.43,Payment Pending,CASE-001,Repeated Winner,Vendor V-1005 repeatedly wins comparable tenders in the same procurement period.
T-5021,School Infrastructure Procurement - Udupi Zone,Education Department,School Infrastructure,Udupi,2026-03-04,2026-04-08,2940246.25,2767216.43,V-1005,Vendor A6,3,2721110.28|2788837.84|3151399.92,331,e-Procurement,,,0.941,15.813,2378652.97,Completed,CASE-001,Repeated Winner,Vendor V-1005 repeatedly wins comparable tenders in the same procurement period.
T-5022,Vehicle Maintenance Procurement - Belagavi Zone,Health Department,Vehicle Maintenance,Belagavi,2026-08-15,2026-09-21,1035063.48,1056922.89,V-1005,Vendor A6,5,1027845.61|1055071.43|1091396.59|1101824.95|1103816.18,407,Open Tender,,,1.021,7.391,958212.11,Completed,CASE-001,Repeated Winner,Vendor V-1005 repeatedly wins comparable tenders in the same procurement period.
T-5023,Vehicle Maintenance Procurement - Belagavi Zone,Education Department,Vehicle Maintenance,Belagavi,2024-10-23,2024-11-10,1141903.2,1058496.22,V-1005,Vendor A6,8,1042676.49|1047426.9|1056807.57|1058751.18|1076002.65|1080730.62|1143706.12|1196141.5,231,e-Procurement,,,0.927,14.718,728306.19,Payment Pending,CASE-001,Repeated Winner,Vendor V-1005 repeatedly wins comparable tenders in the same procurement period.
T-5024,Medical Supplies Procurement - Tumakuru Zone,Water Resources Department,Medical Supplies,Tumakuru,2026-03-13,2026-04-18,2876350.3,2852927.87,V-1005,Vendor A6,2,2799091.6|3062139.65,558,Limited Tender,,,0.992,9.398,1615375.75,Completed,CASE-001,Repeated Winner,Vendor V-1005 repeatedly wins comparable tenders in the same procurement period.
T-5025,School Infrastructure Procurement - Mangaluru Zone,Education Department,School Infrastructure,Mangaluru,2024-06-30,2024-08-04,4483562.79,4020061.65,V-1005,Vendor A6,3,3975915.13|4224837.16|4645415.56,185,Open Tender,,,0.897,16.839,3898457.22,Completed,CASE-001,Repeated Winner,Vendor V-1005 repeatedly wins comparable tenders in the same procurement period.
T-5026,Office Supplies Procurement - Bengaluru Zone,Public Works Department,Office Supplies,Bengaluru,2024-03-24,2024-04-03,2448519.24,2240615.71,V-1005,Vendor A6,2,2196492.99|2642870.09,170,Open Tender,,,0.915,20.322,1580375.56,Completed,CASE-001,Repeated Winner,Vendor V-1005 repeatedly wins comparable tenders in the same procurement period.
T-5027,IT Equipment Procurement - Belagavi Zone,Education Department,IT Equipment,Belagavi,2025-12-23,2026-01-19,1953994.63,1772971.68,V-1005,Vendor A6,2,1733798.84|1903998.53,619,e-Procurement,,,0.907,9.817,1060089.54,Completed,CASE-001,Repeated Winner,Vendor V-1005 repeatedly wins comparable tenders in the same procurement period.
T-5028,Medical Supplies Procurement - Dharwad Zone,Health Department,Medical Supplies,Dharwad,2024-04-22,2024-05-04,3572028.07,3226670.88,V-1005,Vendor A6,2,3216955.25|3382255.37,487,e-Procurement,,,0.903,5.138,2488846.09,Active,CASE-001,Repeated Winner,Vendor V-1005 repeatedly wins comparable tenders in the same procurement period.
T-5029,School Infrastructure Procurement - Bengaluru Zone,Health Department,School Infrastructure,Bengaluru,2024-03-27,2024-05-07,3907227.45,3467500.75,V-1056,Vendor C5,9,3453762.87|3519715.34|3577883.08|3611819.3|3618932.52|3624487.02|3948445.66|3963407.71|4063450.98,117,e-Procurement,,,0.887,17.653,3106223.61,Completed,,,
T-5030,Water Infrastructure Procurement - Udupi Zone,Energy Department,Water Infrastructure,Udupi,2025-05-14,2025-05-24,3310749.63,3054674.51,V-1094,Vendor D17,8,2971017.07|2994756.39|3127989.67|3332760.01|3339172.79|3400738.86|3475047.63|3493797.06,552,Open Tender,,,0.923,17.596,1984748.16,Completed,,,
T-5031,IT Equipment Procurement - Shivamogga Zone,Health Department,IT Equipment,Shivamogga,2024-04-28,2024-05-29,3789689.52,3641570.96,V-1037,Vendor B12,3,3609874.74|3921445.29|3987562.87,393,Open Tender,,,0.961,10.463,2444479.24,Active,,,
